enzyme	name	all	unique
AlfI	Abditibacterium	929	924
AlfI	Acidipila	11795	11651
AlfI	Acidisarcina	2756	2622
AlfI	Acidobacterium	5024	4949
AlfI	Bryocella	2976	2934
AlfI	Candidatus Koribacter	2402	2386
AlfI	Candidatus Sulfotelmatobacter	3532	3504
AlfI	Candidatus Sulfotelmatomonas	2696	2676
AlfI	Edaphobacter	9613	9412
AlfI	Granulicella	13709	13442
AlfI	Occallatibacter	2879	2848
AlfI	Silvibacterium	3020	2976
AlfI	Terracidiphilus	2704	2676
AlfI	Terriglobus	16943	16531
AlfI	unclassified	15379	15177
AlfI	Bryobacter	2584	2562
AlfI	Candidatus Solibacter	3967	3913
AlfI	Candidatus Sulfopaludibacter	8776	8674
AlfI	unclassified	996	988
AlfI	Pyrinomonas	1151	1137
AlfI	Chloracidobacterium	2848	1268
AlfI	Geothrix	1219	1185
AlfI	Holophaga	1254	1221
AlfI	Thermoanaerobaculum	1077	1065
AlfI	Luteitalea	3720	3670
AlfI	unclassified	2933	2904
AlfI	Acidimicrobium	669	651
AlfI	Acidithrix	618	599
AlfI	Ferrimicrobium	808	795
AlfI	Ferrithrix	455	451
AlfI	Desertimonas	2081	0
AlfI	Ilumatobacter	4837	2694
AlfI	Candidatus Microthrix	1757	1724
AlfI	Acidothermus	931	907
AlfI	Actinobaculum	4334	4204
AlfI	Actinomyces	80299	70547
AlfI	Actinotignum	3425	3314
AlfI	Ancrocorticia	807	785
AlfI	Arcanobacterium	5456	4287
AlfI	Flaviflexus	2491	2384
AlfI	Mobiluncus	2550	2444
AlfI	Neoactinobaculum	751	734
AlfI	Schaalia	11492	7626
AlfI	Trueperella	4632	4100
AlfI	Varibaculum	2930	2797
AlfI	unclassified	3442	422
AlfI	unclassified	2576	2133
AlfI	Actinopolyspora	16047	15449
AlfI	Aeriscardovia	796	781
AlfI	Alloscardovia	4571	4484
AlfI	Bifidobacterium	130435	127494
AlfI	Bombiscardovia	586	577
AlfI	Gardnerella	12768	8719
AlfI	Parascardovia	1057	487
AlfI	Pseudoscardovia	2950	2812
AlfI	Scardovia	1428	872
AlfI	unclassified	4944	1260
AlfI	Candidatus Nanopelagicus	927	921
AlfI	Candidatus Planktophila	4058	3957
AlfI	Actinospica	7147	4315
AlfI	Catenulispora	3957	3771
AlfI	Corynebacterium	198646	190285
AlfI	unclassified	3987	1666
AlfI	Dietzia	11762	10989
AlfI	Gordonia	67527	62956
AlfI	Millisia	2197	1999
AlfI	Skermania	4027	3752
AlfI	Hoyosella	3640	3563
AlfI	Mycobacterium	479738	401595
AlfI	Mycobacteroides	53908	41350
AlfI	Mycolicibacillus	3600	2954
AlfI	Mycolicibacter	33688	25477
AlfI	Mycolicibacterium	243094	181698
AlfI	unclassified	2303	1924
AlfI	Nocardia	285981	266349
AlfI	Rhodococcus	231571	219661
AlfI	Smaragdicoccus	1874	1798
AlfI	Williamsia	15425	13728
AlfI	Segniliparus	2066	1961
AlfI	Tsukamurella	15357	14324
AlfI	Lawsonella	855	841
AlfI	Tomitella	3915	3599
AlfI	Cryptosporangium	8377	7799
AlfI	Frankia	53391	50880
AlfI	Jatrophihabitans	3794	3532
AlfI	Motilibacter	3875	3547
AlfI	Antricoccus	1804	1753
